STATUS;ORBITAL_PERIOD_DAYS;TRANSIT_DURATION_HOURS;TRANSIT_DEPTH_PPM;PLANET_RADIUS_REARTH;PLANET_INSOLATION_EFLUX;PLANET_EQ_TEMP_K;STELLAR_TEFF_K;STELLAR_LOGG_CMS2;STELLAR_RADIUS_RSUN
1;4.72;2.51;417.5;1.46;108.84;823.0;4861.0;4.57;0.73
1;6.37;2.97;780.7;2.44;165.33;914.0;5776.0;4.55;0.85
0;5.98;3.06;962.4;3.86;284.25;1047.0;6108.0;4.47;1.0
0;2.45;4.72;1177.9;26.25;597.19;1261.0;5764.0;4.55;0.86
1;3.04;1.84;10859.0;8.99;257.29;1021.0;5035.0;4.52;0.79
1;15.34;3.9;3081.4;5.0;32.67;610.0;5251.0;4.58;0.82
1;7.96;4.38;50.0;1.06;314.15;1074.0;5847.0;4.19;1.4
1;31.33;5.18;5073.8;6.5;12.61;481.0;5251.0;4.58;0.82
0;3.9;3.83;16228.0;12.28;351.05;1104.0;5810.0;4.53;0.9
0;9.29;3.5;44791.0;17.61;95.03;796.0;5670.0;4.52;0.82
1;23.65;8.22;3341.8;7.89;67.65;731.0;5739.0;4.19;1.38
1;13.23;6.74;504.6;3.06;146.67;888.0;5739.0;4.19;1.38
1;6.16;4.98;285.0;2.32;406.94;1146.0;5739.0;4.19;1.38
1;2.09;3.39;115.9;1.62;1718.04;1642.0;5739.0;4.19;1.38
1;3.18;3.58;120.3;1.53;1066.86;1458.0;5847.0;4.19;1.4
1;50.45;7.16;370.3;2.67;24.64;568.0;5739.0;4.19;1.38
1;11.76;2.91;1037.3;2.35;33.99;616.0;4959.0;4.6;0.76
1;56.23;3.57;862.7;2.37;4.22;366.0;4959.0;4.6;0.76
0;2.38;3.09;1268.1;17.06;244.87;1010.0;4794.0;4.58;0.7
1;7.95;2.63;875.4;2.25;55.37;696.0;4768.0;4.54;0.78
1;4.14;2.34;391.8;1.48;132.08;864.0;4768.0;4.54;0.78
1;10.53;2.52;9768.0;8.24;61.16;713.0;5386.0;4.55;0.79
1;4.58;2.71;3812.1;5.39;274.98;1038.0;5815.0;4.54;0.88
1;3.76;3.52;510.6;2.66;372.62;1121.0;5653.0;4.47;0.95
1;8.2;2.97;1024.4;3.01;71.5;742.0;5015.0;4.5;0.83
1;14.5;4.02;647.5;3.01;33.48;613.0;5015.0;4.5;0.83
1;6.55;2.75;655.9;2.19;101.78;810.0;5251.0;4.58;0.82
1;12.72;3.1;1149.4;2.31;23.6;562.0;4702.0;4.59;0.69
1;36.07;4.32;1563.8;2.64;5.88;397.0;4702.0;4.59;0.69
1;4.19;2.86;2877.4;6.21;547.9;1234.0;6073.0;4.39;1.14
1;3.71;3.07;2020.3;4.35;415.1;1151.0;5727.0;4.46;0.98
1;16.33;6.27;1187.5;3.75;66.08;727.0;5878.0;4.44;0.99
1;27.81;4.22;25391.0;13.84;22.24;554.0;5862.0;4.58;0.78
1;80.87;11.2;3604.6;7.59;9.88;452.0;5510.0;4.22;1.24
0;3.17;2.94;4357.2;26.82;196.31;954.0;4968.0;4.58;0.7
1;24.99;5.94;269.6;2.29;60.88;712.0;5718.0;4.18;1.32
1;10.36;3.18;750.6;2.47;86.22;777.0;5501.0;4.46;0.92
1;16.09;3.98;1442.4;3.68;33.43;613.0;5239.0;4.52;0.83
1;236.0;8.23;20715.0;10.59;0.29;188.0;4245.0;4.63;0.66
1;7.49;2.73;1123.6;2.56;76.06;753.0;5103.0;4.56;0.79
1;36.28;4.79;1572.6;3.03;9.29;445.0;5103.0;4.56;0.79
1;17.46;2.26;812.4;2.32;24.6;568.0;5103.0;4.56;0.79
1;56.06;4.68;1626.0;1.94;0.69;233.0;3593.0;4.76;0.49
1;41.41;5.03;22839.0;11.38;9.93;453.0;5522.0;4.59;0.75
1;39.75;7.31;15179.0;14.21;21.87;552.0;6122.0;4.49;0.96
1;5.72;2.52;908.1;2.47;123.03;850.0;5237.0;4.57;0.83
1;49.18;11.34;1646.2;8.2;47.4;669.0;5626.0;3.91;2.06
1;20.03;1.61;421.2;2.28;23.14;559.0;5237.0;4.57;0.83
1;13.61;2.59;5732.9;19.02;68.29;733.0;5697.0;4.46;0.9
0;10.44;2.74;1159.8;2.66;46.94;667.0;4947.0;4.52;0.8
1;2.24;1.81;315.8;1.41;427.17;1160.0;5265.0;4.58;0.81
0;5.85;3.11;33004.0;14.62;155.89;901.0;5532.0;4.53;0.81
1;3.17;2.18;781.2;2.62;526.23;1221.0;5895.0;4.5;0.94
1;4.31;2.73;1154.0;3.11;274.84;1038.0;5527.0;4.48;0.93
1;20.05;4.56;840.9;2.69;35.44;622.0;5527.0;4.48;0.93
1;9.77;1.66;569.1;2.67;92.46;791.0;5527.0;4.48;0.93
1;119.02;8.14;7430.5;8.98;4.25;366.0;5453.0;4.34;1.06
1;190.32;15.28;1141.7;7.78;7.8;426.0;5626.0;3.91;2.06
0;2.86;1.88;1014.3;4.37;797.1;1355.0;6126.0;4.46;1.02
1;26.44;3.98;1843.5;3.91;23.54;562.0;5427.0;4.46;0.93
1;51.54;6.4;3644.3;5.51;9.67;450.0;5427.0;4.46;0.93
1;5.9;2.9;702.3;2.43;173.74;926.0;5427.0;4.46;0.93
1;2.38;1.89;391.6;1.86;583.01;1253.0;5427.0;4.46;0.93
1;21.02;4.11;1772.5;3.07;17.48;521.0;5067.0;4.58;0.75
1;3.22;2.06;488.2;1.69;234.93;998.0;5103.0;4.56;0.79
1;5.91;2.33;961.4;1.73;27.72;585.0;4072.0;4.7;0.57
1;8.99;2.86;881.3;1.65;15.9;509.0;4072.0;4.7;0.57
1;12.94;2.48;42450.0;22.94;64.64;723.0;5875.0;4.57;0.81
0;20.55;2.52;218.5;2.41;71.57;742.0;5670.0;4.21;1.26
1;33.6;4.41;7425.9;8.46;14.22;495.0;5149.0;4.45;0.93
1;6.77;2.9;450.7;1.97;120.48;845.0;5149.0;4.45;0.93
1;4.35;2.1;451.6;2.36;449.79;1174.0;5754.0;4.34;1.12
1;4.6;2.26;755.9;2.35;152.91;896.0;4986.0;4.5;0.83
1;11.19;3.25;353.6;1.55;46.65;667.0;4986.0;4.5;0.83
1;4.22;3.09;2260.0;2.62;29.68;595.0;3837.0;4.75;0.52
1;5.95;2.39;1410.7;2.33;38.52;635.0;4261.0;4.64;0.63
1;12.04;2.74;1250.6;2.18;15.06;502.0;4261.0;4.64;0.63
1;20.84;2.37;439.0;1.42;7.24;418.0;4261.0;4.64;0.63
1;23.59;5.07;1200.7;3.16;13.34;487.0;4919.0;4.57;0.72
1;6.48;3.78;298.5;2.54;406.25;1145.0;5945.0;4.21;1.3
1;10.37;3.04;1254.9;3.2;63.68;720.0;5121.0;4.46;0.89
1;3.97;1.18;299.2;1.78;229.37;992.0;5121.0;4.46;0.89
1;4.41;5.01;549.4;2.66;398.0;1139.0;6007.0;4.46;0.96
0;7.94;6.7;1590.7;4.68;140.57;878.0;5811.0;4.52;0.93
1;226.89;7.56;3136.4;4.53;0.73;236.0;5067.0;4.58;0.75
0;1.96;2.2;24905.0;21.58;357.16;1109.0;5209.0;4.66;0.6
1;2.69;2.11;37492.0;12.04;175.76;929.0;4820.0;4.67;0.64
1;9.44;2.9;3036.1;4.16;52.32;686.0;5097.0;4.6;0.78
1;11.52;3.88;507.3;3.13;174.81;927.0;5644.0;4.16;1.41
1;20.48;2.84;1382.4;2.92;18.65;530.0;5097.0;4.6;0.78
1;3.34;1.96;516.3;1.74;209.79;970.0;5097.0;4.6;0.78
1;8.01;2.31;1333.6;1.72;9.9;453.0;3713.0;4.78;0.47
1;12.07;4.32;759.2;1.29;5.74;395.0;3713.0;4.78;0.47
1;21.0;2.63;767.3;1.3;2.74;328.0;3713.0;4.78;0.47
