STATUS;ORBITAL_PERIOD_DAYS;TRANSIT_DURATION_HOURS;TRANSIT_DEPTH_PPM;PLANET_RADIUS_REARTH;PLANET_INSOLATION_EFLUX;PLANET_EQ_TEMP_K;STELLAR_TEFF_K;STELLAR_LOGG_CMS2;STELLAR_RADIUS_RSUN
PC;13.9428705;3.7522756;1015.395543;2.4233421;28.0927293;587.1759148;5206.0;4.63095;0.741671
CP;0.6047392;1.0403847;1027.6833479;1.8625587;528.0253155;1222.5973095;4046.0;4.60963;0.580337
KP;2.5495611;2.6173308;14921.4021936;12.9171288;757.1284067;1337.8645148;5659.0;4.44653;1.03997
PC;1.6062693;1.9561305;16725.3019333;12.6436029;844.2700581;1374.8018137;5192.0;4.4617;0.984326
CP;0.5182425;0.8565249;831.8920424;1.3485121;255.1405815;1019.3295979;3325.0;4.88693;0.390989
PC;3.1644075;2.0576293;5603.4635466;14.8814743;2206.1550476;1747.9490013;6519.0;4.22068;1.7234
KP;3.0440541;2.5984575;22236.0165376;12.1086799;315.9871326;1075.3184542;5523.0;4.52192;0.809868
PC;3.9652485;1.0112593;3680.7544436;1.2305102;5.2829448;386.6684768;3296.0;4.96636;0.199988
PC;2.98278;3.109528;6136.231662;11.467011;;;6027.0;4.29978;1.23975
PC;16.3469053;3.5865698;2212.4257252;3.5059571;8.9995944;441.7489067;4310.0;4.57345;0.649613
PC;12.9802953;2.5034417;2407.2608671;2.4241912;4.7341229;376.2093904;3614.0;4.81257;0.491323
KP;1.3484961;2.4074261;18463.7636682;15.8824638;2706.9606225;1839.6713042;6346.0;4.38484;1.14759
APC;3.2541181;4.341;13620.0;14.9476;1436.45;;6102.0;4.28649;1.28
PC;3.7178828;5.5277827;4864.8405125;14.6986197;1925.1426172;1689.4116185;5818.0;4.33787;2.0840001
FP;9.30992;3.464;2220.0;14.2968;215.208;1067.0;6907.0;3.63;3.09
FA;1.15395;2.236;1550.0;5.48364;3534.3;2148.0;6093.0;4.2;1.4
FP;4.73703;3.902;2410.0;25.7144;53821.0;4243.0;11600.0;4.13;2.48
KP;2.76676;2.6872178;14947.4387827;12.2867389;505.8840075;1209.5741229;5346.0;4.48823;0.984866
FP;2.19296;4.586;4933.74;22.7769;31883.5;3722.0;7009.8;3.6;2.95
PC;1.725841;3.674;2710.0;15.0024;50469.2;4175.0;7348.0;3.9;2.39
FP;1.1923;3.119;3730.0;30.666;40771.2;3958.0;6534.0;3.95;2.04
FP;11.47606;6.083;3050.0;;;;;;
APC;0.5971314;0.468;910.0;9.08382;1596.43;1760.0;7710.0;3.98;2.28
PC;1.4821386;2.1867078;2102.6568299;13.7339261;18197.1354531;2962.2418039;7066.0;3.78;2.6647301
FP;0.9209526;1.8602735;360.8801529;5.7349089;32740.3629399;3430.7622437;6553.0;3.65;2.8908899
CP;9.188506;2.492;460.0;2.16591;63.4589;786.0;5876.0;4.48;0.98
CP;13.9028391;2.1264429;647.2701039;2.6136848;77.4841883;756.6987586;5876.0;4.48;0.983215
CP;10.1826983;2.8275109;667.4752458;3.0538057;198.394783;957.1991659;6153.0;4.34814;1.14582
CP;6.441006;1.812;914.0;2.56374;87.8902;853.0;4867.0;4.438;0.8
KP;3.1743504;2.751086;15457.3247576;14.9172256;718.9096994;1320.6518234;5943.0;4.42524;1.15706
FP;20.0731588;3.8449215;1152.9645461;4.0506906;69.3993155;736.1368293;6033.0;4.37;1.14849
FP;2.66903;1.548;3110.0;9.36823;429.86;1268.0;5803.5;4.07;1.56
FP;6.63371;2.122;1555.34;2.75375;22.9987;610.0;4138.1;4.54;0.63
PC;2.94308;4.073;4490.0;45.3525;2533.34;1976.0;4437.0;;3.13
FP;341.2811281;6.303026;972.5797241;4.7531892;121.1597998;846.173434;6058.6;4.2;1.39203
PC;10.8680523;2.375;1553.0;2.90726;20.7383;594.0;4664.0;4.55;0.76
PC;11.1149;2.26;900.0;14.7645;21.9713;603.0;5042.0;;4.94
CP;4.0782392;4.8475616;6046.6959687;13.898174;1619.0081232;1617.8267296;6501.0;4.08;1.74836
FP;7.14386;1.467;11146.4;22.1531;;;7860.0;4.15;1.91
FP;7.04083;2.979;1580.0;8.46404;852.336;1505.0;5317.0;4.49;0.91
KP;2.1061569;1.4688934;12142.2238514;13.086872;691.8428073;1308.0417533;5380.0;4.4337;0.940697
FP;2.4545635;2.321;4248.0;11.1276;2162.73;1899.0;6610.0;4.15;1.64
FP;11.4756978;0.808;8341.0;14.1098;11.4585;512.0;7262.0;4.0;2.13
FP;2.78186;2.456;490.0;4.92567;1323.21;1680.0;6819.0;3.92;2.21
FP;6.4410082;1.798;7076.0;4.59203;8.2114;471.0;3469.0;4.71;0.53
APC;2.4887726;2.632;4852.0;;773.3029498;1344.9531805;8048.0;4.438;
APC;4.45199;2.109;8483.38;15.8858;1013.74;1571.0;6708.3;4.2;1.57
PC;5.0100708;2.0644756;409.4812214;2.3107394;210.6631712;971.6657708;5551.0;4.46214;0.906282
PC;2.2281625;2.015;630.0;2.56778;702.927;1434.0;5731.0;4.43;1.02
FP;4.13812;3.911;5560.0;;613.964;1386.0;4898.4;;
APC;10.95663;3.588;3830.0;23.9726;619.065;1389.0;6456.0;3.92;2.07
KP;2.4997996;2.865171;14621.2059647;13.8516093;907.8624196;1399.9894384;5650.0;4.28867;1.13732
FP;1.66226;3.321;6030.0;13.3343;7149.89;2561.0;7301.0;4.23;1.64
FP;4.07611;2.062;1454.18;;;;;;
FP;3.6245513;3.042;1299.0;4.3503;919.571;;6317.0;;1.38
APC;1.20928;1.886;11883.8;15.1764;;;5159.8;4.23;1.27
APC;3.5187707;2.408;5634.0;14.0061;2000.01;1863.0;6690.0;4.24;1.49
PC;0.7724825;1.3744974;211.3168519;4.1624907;60276.5000547;3996.2877922;8271.0;3.95;2.5027299
FP;1.6268695;3.231;1502.0;2.36498;1946.23;1850.0;5034.0;4.64;0.73
FP;2.32439;4.453;2704.18;;68217.5;4502.0;8268.5;3.93;
FP;13.5499;1.795;1180.0;6.24633;31.6652;660.0;6209.0;4.09;1.63
FP;4.43651;3.365;1520.0;19.9664;8233.41;2653.0;7101.9;3.91;2.32
KP;3.372877;2.63426;17163.60419;14.201803;615.165921;1270.187448;6050.0;4.45061;1.02
CP;8.34998;1.836;16680.0;11.1424;19.9348;588.0;4236.0;4.52;0.74
CP;4.0686405;1.8373729;2650.0950013;3.7548333;84.108766;772.378302;4236.0;4.52;0.741921
PC;0.5860366;0.8098934;410.5241553;4.906408;26813.1057089;3263.6721812;5579.0;3.67;2.39803
FP;1.5502952;2.938;411.0;3.34528;10796.6;2839.0;7851.0;4.17;1.86
FP;1.80709;3.297;450.0;4.86242;7233.01;2569.0;6244.0;3.84;2.2
FP;18.6922101;7.765;11126.0;18.1458;282.175;1141.0;6277.0;4.09;1.65
CP;8.0277326;4.284;5705.0;9.06883;248.619;1106.0;5962.7;4.38;1.15
CP;12.5187279;5.38;2320.0;5.58857;626.362;1393.0;5729.0;4.47;0.98
CP;6.2586065;3.201;813.0;2.51593;232.392;1087.0;5729.0;4.47;0.98
CP;26.3208756;4.414;800.0;2.71349;26.4328;631.0;5729.0;4.47;0.98
CP;18.795547;4.3425576;470.6731965;2.1597669;48.477077;672.9826313;5729.0;4.47;0.977727
PC;1.3206356;1.6000996;1052.4255997;34.7561624;3652.2582486;1982.7142102;4919.6;;6.3070302
FP;0.64971;2.076;620.0;6.23181;83182.0;4731.0;9994.0;4.02;2.59
PC;4.4780798;4.513;1054.0;11.3678;31621.7;3715.0;7947.0;4.2;1.83
KP;3.2887898;3.4367717;7005.7247902;10.5135877;759.3373533;1338.8392647;5800.0;4.28004;1.24175
FP;13.7431084;2.285;5688.0;12.05;84.3234;844.0;5941.5;;1.34
FP;16.9487087;4.2887767;156467.5479643;45.2204505;78.263287;758.5937679;5894.7;4.37;1.1179
FP;3.3686634;3.012;3288.0;42.2321;9856.24;2775.0;7518.0;3.82;2.68
FP;11.2071839;4.366;3276.0;17.4989;813.063;1487.0;6152.0;3.84;2.24
KP;4.8878037;2.184;4279.0;5.29152;71.6805;810.0;4757.3;4.56;0.76
FP;2.97164;1.534;7350.0;;3089.18;2076.0;8562.5;;
FP;0.660179;1.6349369;473.0939303;6.1672487;252487.7638842;5717.1532477;8598.7;4.1;2.62432
FP;10.9278415;2.468;2743.0;49.1695;270.142;1129.0;6259.0;3.59;2.92
KP;5.5514888;4.335;9493.0;15.8043;802.858;1482.0;6403.9;4.16;1.55
APC;2.3202418;2.3817612;5082.9417064;;22262.0513573;3115.3801229;8737.5;;
KP;4.7423709;2.4988145;12650.8110411;10.5505922;209.7699043;970.6340996;5377.0;4.42476;0.877585
KP;1.4810903;4.1588291;6788.5145388;20.3402421;33326.7304874;3446.0210572;9435.0;4.11;2.28773
KP;3.4741012;3.317;15748.0;21.2912;3453.07;2084.3330866;8894.8;4.38;1.62
FA;6.5011911;5.5463587;4501.3454064;;214.9638584;976.5873888;5485.0;;
APC;6.0360758;1.255;987.0;9.86763;464.097;1293.0;6528.3;4.21;1.69
PC;21.745537;4.196;659.0;2.10208;28.2504;642.0;5704.0;4.51;0.93
FP;1.32003;3.175;552.468;;;;;;
FP;1.6865822;2.429;1770.0;;;;;;
FP;13.0727479;3.044;4080.0;35.7944;221.343;1074.0;5709.8;3.37;3.59
FP;2.9258727;4.075;6720.0;24.4055;3028.51;2066.0;4884.5;;1.3
FP;0.73774;0.636;524.852;5.28215;;;6449.5;3.94;2.1
KP;2.7985802;2.3801043;16708.7151957;11.9514993;332.556249;1089.1458169;4920.0;4.49371;0.906655
FP;2.3664127;2.591;300.0;;;;;;
KP;1.7635881;3.092;6650.0;;7685.79;2608.0;7986.1;;
PC;7.3166682;3.255;3210.0;;1221.82;1647.0;8730.0;;
PC;3.0771612;2.6914319;4703.2844346;;2636.8654415;1827.6445751;9311.3;;
FP;3.2077145;2.708;9640.0;;;;;;
KP;2.2552845;2.05;20820.0;14.688;549.715;1348.0;5787.0;4.5;0.96
FP;1.8824539;2.46;1391.0;8.29008;15173.2;3091.0;5900.4;4.39;1.13
FP;15.196;1.792;1970.0;4.96345;;;5807.0;;1.14
FP;2.1358631;1.559;10325.0;23.6019;1540.95;1745.0;5969.0;4.17;1.5
PC;6.7075429;2.125;11920.0;17.4647;225.822;1079.0;6134.3;;1.24
KP;3.5862962;3.3710943;5729.3246858;16.4747611;1787.5955937;1658.3915202;5704.8;3.84;2.00441
FP;1.8296155;2.166;1406.0;29.3616;32867.0;3751.0;7875.0;3.61;3.5
FP;11.1876137;3.183;4924.0;31.8624;838.609;1499.0;7266.0;4.06;2.05
FP;7.8513949;6.835;22029.0;;;;;;
CP;7.0643978;2.424;8268.0;9.39131;104.311;890.0;5429.6;4.44;0.96
CP;8.9534775;2.696;1136.0;2.35888;45.5604;723.0;5029.5;4.61;0.76
FP;7.5022708;2.605;1760.0;5.55812;129.866;940.0;6229.0;4.31;1.27
PC;14.0077666;5.8727493;5924.8349672;12.4023108;264.4796635;1028.5320293;6557.7;4.18;1.57435
FP;1.692892;2.886;1418.0;11.2371;187927.0;5800.0;9121.5;4.21;2.1
FP;2.6652007;3.49;819.0;2.35964;2905.35;2045.0;4043.4;4.69;0.56
APC;1.2615323;1.039;2841.0;8.67407;1437.18;1715.0;4927.9;4.57;0.78
CP;6.0344667;1.89;1800.0;4.44029;64.2648;788.0;5586.0;4.36763;1.05
CP;9.6867516;2.512;1669.0;3.00336;41.6645;707.0;4738.1;4.59;0.73
CP;2.1031647;5.059;7142.0;16.7087;14140.0;3037.0;6122.0;3.93;1.93
FP;7.6416041;2.654;6025.0;27.538;478.683;1303.0;6496.7;;2.05
FP;5.9294088;2.933;10226.0;10.8101;456.893;;5095.6;;1.06
CP;5.7484439;1.76;1041.0;2.35215;75.272;820.0;4534.0;4.61;0.69
FP;1.1967018;1.879;824.0;10.3239;25917.9;3534.0;5997.0;4.0;1.73
FP;11.2464616;7.391;7576.0;17.6677;365.938;1218.0;6115.7;3.89;2.01
PC;2.5941968;0.861;907.0;4.47229;300.014;1159.0;6389.0;4.26;1.4
FP;8.5112;3.486;4172.76;;;;8156.0;4.35;
PC;3.9687994;1.07;1760.0;;;;5286.9;;
PC;5.5411114;2.467;633.0;2.04482;258.843;1117.0;5332.0;4.56429;0.82
PC;10.6917268;3.002;535.0;1.79811;42.2657;710.0;5332.0;4.56429;0.82
APC;3.6950015;4.515;7655.0;14.1288;2184.62;1904.0;7106.7;4.2;1.63
FP;15.7335693;3.288;2540.0;24.3218;367.588;1219.0;6800.0;3.91;2.21
APC;45.9403293;3.768;14807.0;28.3312;20.4053;;6479.3;;1.28
FP;2.2219839;1.996;4394.0;15.4416;7790.56;;7166.8;;1.87
CP;2.3106428;1.294;6911.0;8.76741;203.685;1052.0;5339.9;4.41;0.99
FP;4.05135;2.4;1132.23;14.2359;;;4974.4;;3.85
PC;5.5376617;2.517;5390.0;15.6557;351.929;1206.0;6689.0;3.96;2.06
PC;4.5960377;4.744;5000.0;16.2166;2340.04;1937.0;7649.0;4.04;2.12
KP;3.612771;4.142;11794.0;19.3662;5011.92;2344.0;8324.0;4.28;1.71
CP;3.6714717;2.149;4340.0;10.678;324.114;1182.0;5618.0;4.06;1.54
CP;11.535076;8.555958;2389.90616;12.215808;;;5479.3;3.77;2.48771
FP;0.8352406;1.043;2065.0;6.4875;5021.63;2345.0;6105.0;4.31;1.24
CP;2.4919771;1.4338141;2093.9594201;2.2187585;39.6452664;639.9817426;3948.0;4.68962;0.482388
FP;;2.726775;878.134108;1.710706;9.5212941;448.0162269;3773.0;4.438;0.577983
CP;25.5195307;6.6877451;558.3758637;2.9641461;45.6335702;662.8890748;5742.22;4.29;1.17321
PC;1.3812115;2.7372191;117.7553083;2.2402361;5767.3673643;2222.614552;6711.0;4.06358;1.7756799
PC;2.3922703;9.0053425;63.575141;3.5905923;18015.5142019;2954.822621;6090.0;3.29864;4.1956
FP;0.831542;1.985538;248.969585;1.881684;3776.6095365;1999.3796659;5824.0;4.438;1.1512
PC;2.6282553;2.0930597;75.2858004;0.9817044;955.7979966;1418.1144376;6282.0;4.37809;1.10743
PC;3.4239436;1.9601023;443.6391381;1.7581475;294.3078003;1056.3800546;5626.0;4.56195;0.823019
PC;10.983042;3.7478987;725.1724567;2.5070075;62.2119369;716.2888325;5626.0;4.56195;0.823019
PC;17.726449;3.4404719;747.7725499;2.261664;32.8605569;610.6445415;5626.0;4.56195;0.823019
PC;40.7199388;4.2436925;355.619391;3.2352713;47.143655;668.3063106;5914.0;3.98;1.55953
APC;14.7741056;5.504;15041.0;15.3936;123.522;928.0;6053.0;4.3135;1.23
FP;79.3739596;5.392;1227.0;2.17454;3.05331;368.0;5168.33;4.60584;0.77
PC;18.1663644;2.464;624.0;2.80447;16.6472;562.0;5572.9;3.83;1.14
PC;105.5850893;11.6068811;462.9116325;2.5033335;8.047858;429.5758177;5909.57;4.26154;1.1142
FP;27.2149622;3.7190483;4731.4046225;8.3475973;25.4860381;573.0537137;6270.0;4.54537;0.989667
PC;19.1807264;3.9621084;544.5602695;2.4311768;32.9407734;611.0168649;5262.4;3.98;0.937973
PC;1.2124493;0.9984653;501.2911711;0.879419;336.2098533;1092.1250255;3751.0;4.75718;0.518
PC;4.5541831;7.8146963;187.8286128;0.8887417;54.8401357;694.0557871;4280.0;4.61209;0.635812
PC;41.4856125;6.6899368;959.7522291;12.5121956;271.196017;1035.0005398;6354.0;4.24472;3.4868701
PC;13.7738265;2.9992376;338.2166234;1.8971927;67.2831271;730.4597521;5455.96;4.46737;1.01825
PC;1.9142544;3.256;248.0;2.04421;6105.33;2462.0;6734.0;4.18582;1.59
CP;5.0780325;1.2100353;5923.1283069;2.6347763;8.1743139;431.253644;3318.0;4.9581;0.334125
APC;70.3607265;1.0325441;1353.9678246;8.2807306;52.1124723;685.259664;6308.0;3.98679;2.0982201
CP;91.6827832;9.7504857;713.2183569;3.239855;5.9944903;399.0780255;5802.0;4.44521;1.01814
PC;10.1944993;2.2648785;317.3261147;2.7392825;231.1087411;994.4291411;6082.0;4.33287;1.32661
FP;14.64319;2.5483426;242.7923919;3.41248;391.2017546;1134.2791474;6516.0;3.99366;2.04178
CP;4.1782656;1.675904;2537.6781602;2.1023854;13.9295288;492.7241583;3442.0;4.893;0.404403
CP;17.9453645;3.0740072;5480.684864;3.3839124;1.9952383;303.1226876;3442.0;4.893;0.404403
PC;13.896396;3.5885605;748.5332881;2.4586343;52.3837065;686.1495861;5522.87;4.67156;0.888163
PC;8.1213102;3.1040945;594.6443745;2.3157186;107.208941;820.6868999;5522.87;4.67156;0.888163
PC;3.9287851;1.8165271;485.9762569;2.329279;376.4612937;1123.4398689;5668.15;4.52573;0.986943
CP;27.3613778;4.0586418;20690.6684294;6.4522449;0.8345555;243.7718547;3050.0;4.438;0.44128
CP;29.0497517;7.117;318.0;2.84674;257.066;1115.0;8208.0;4.25979;1.8
APC;31.8132264;11.2567164;11479.375547;21.6314984;48.4375724;672.8454841;6028.84;3.96199;1.98893
